ID,year,mcp_fit_well
0A,0A-2020-2021,Y
0A,0A-2021-2022,N
0A,0A-2022-2023,Y
0C,0C-2020-2021,Y
0C_2nd,0C_2nd-2021-2022,Y
0C_2nd,0C_2nd-2022-2023,Y
0E,0E-2020-2021,Y
0E_2nd,0E_2nd-2021-2022,Y
0H,0H-2020-2021,Y
0H,0H-2021-2022,Y
0L,0L-2020-2021,Y
0L_2nd,0L_2nd-2021-2022,Y
0L_2nd,0L_2nd-2022-2023,Y
0M,0M-2020-2021,Y
0M,0M-2021-2022,Y
0M,0M-2022-2023,Y
0N,0N-2020-2021,Y
0N_2nd,0N_2nd-2021-2022,Y
0N_2nd,0N_2nd-2022-2023,Y
0P,0P-2020-2021,Y
0P,0P-2021-2022,Y
0R,0R-2020-2021,Y
0R,0R-2021-2022,Y
0R,0R-2022-2023,Y
0T_2nd,0T_2nd-2020-2021,Y
0T_2nd,0T_2nd-2021-2022,Y
1A,1A-2020-2021,Y
1A,1A-2021-2022,Y
1A,1A-2022-2023,Y
1C,1C-2020-2021,Y
1C,1C-2021-2022,Y
1C,1C-2022-2023,Y
1E,1E-2020-2021,Y
1E,1E-2021-2022,Y
1E,1E-2022-2023,Y
1H,1H-2020-2021,Y
1H,1H-2021-2022,Y
1L,1L-2020-2021,Y
1L,1L-2021-2022,Y
1L,1L-2022-2023,Y
1M,1M-2020-2021,Y
1M,1M-2021-2022,Y
1N,1N-2020-2021,Y
1N,1N-2021-2022,Y
1P,1P-2020-2021,N
1P,1P-2021-2022,Y
1P,1P-2022-2023,Y
1R,1R-2020-2021,Y
1T,1T-2020-2021,Y
1T,1T-2021-2022,Y
2A,2A-2019-2020,Y
2C,2C-2020-2021,Y
2C,2C-2021-2022,Y
2C,2C-2022-2023,Y
2E,2E-2020-2021,Y
2E,2E-2021-2022,Y
2H,2H-2020-2021,Y
2H_2nd,2H_2nd-2021-2022,Y
2H_2nd,2H_2nd-2022-2023,Y
2J,2J-2019-2020,N
2J,2J-2020-2021,N
2J,2J-2021-2022,Y
2K,2K-2019-2020,Y
2K,2K-2020-2021,Y
2K,2K-2021-2022,Y
2L,2L-2020-2021,N
2M,2M-2020-2021,Y
2M,2M-2021-2022,Y
2M,2M-2022-2023,Y
2N,2N-2020-2021,Y
2P,2P-2020-2021,Y
2R,2R-2020-2021,Y
2T,2T-2020-2021,Y
2T,2T-2021-2022,Y
2T,2T-2022-2023,Y
3A,3A-2019-2020,Y
3C,3C-2020-2021,Y
3C,3C-2021-2022,Y
3C,3C-2022-2023,Y
3E,3E-2020-2021,Y
3E,3E-2021-2022,Y
3H,3H-2020-2021,Y
3H,3H-2021-2022,Y
3H,3H-2022-2023,Y
3J,3J-2019-2020,N
3J,3J-2020-2021,Y
3K,3K-2019-2020,Y
3K,3K-2020-2021,Y
3K,3K-2021-2022,Y
3L,3L-2020-2021,Y
3L,3L-2021-2022,Y
3M,3M-2020-2021,Y
3N,3N-2020-2021,Y
3N,3N-2021-2022,Y
3P,3P-2020-2021,Y
3P,3P-2021-2022,Y
3R,3R-2020-2021,Y
3R,3R-2021-2022,Y
3R,3R-2022-2023,Y
3T,3T-2020-2021,N
3T,3T-2021-2022,Y
4A,4A-2019-2020,Y
4C,4C-2020-2021,Y
4C,4C-2021-2022,Y
4C,4C-2022-2023,Y
4E,4E-2020-2021,Y
4H,4H-2020-2021,Y
4H,4H-2021-2022,Y
4J,4J-2019-2020,Y
4J,4J-2020-2021,Y
4J,4J-2021-2022,Y
4K,4K-2019-2020,Y
4K,4K-2020-2021,Y
4K,4K-2021-2022,Y
4L,4L-2020-2021,Y
4L,4L-2021-2022,Y
4L,4L-2022-2023,Y
4M,4M-2021-2022,Y
4M,4M-2022-2023,Y
4N,4N-2020-2021,Y
4N,4N-2021-2022,Y
4P,4P-2020-2021,Y
4P,4P-2021-2022,Y
4R,4R-2020-2021,Y
4R,4R-2021-2022,Y
4T,4T-2020-2021,Y
4T,4T-2021-2022,Y
4T,4T-2022-2023,Y
5A,5A-2019-2020,Y
