id,breeding_status(if cygnets=breeder; if mate=paired;else non-breeder or cygnet),mate_present,cygnets,sex,mass (kg),skull (mm),tarsus (mm),lead,breeding_lat,breeding_longitude,comments
0A,breeder,y,5,M,11,210,124,33.3,45.055793,-93.752159,
0C,breeder,y,4,M,12.6,201,122,34,43.207806,-93.780399,skull and tarsus seem large
0C_2nd,breeder,y,5,M,13.1,200,131,113.3,41.9015197,-90.7588452,
0E,paired,y,0,F,12.8,196,133,338.5,46.8046539,-93.6960743,
0E_2nd,non_breeder,n,0,M,12.2,191,140,76,44.544246,-94.414685,
0H,breeder,y,0,M,11.27,184.2,NA,NA,51.050226,-96.833822,
0H_2nd,cygnet,NA,NA,F,9.6,NA,116,34.7,35.471514,-91.88002,
0L,paired,y,0,F,12.6,195,128,28.1,46.989949,-95.981508,
0L_2nd,paired,y,0,F,9.4,191,127,272.3,45.018178,-94.336019,
0M,non_breeder,n,0,F,9.5,190,132,100.1,41.4623,-83.02197,
0N,breeder,y,3,F,10.8,200,124,16,41.62445,-83.2282,
0N_2nd,paired,y,0,M,11.7,199,135,62.7,46.242133,-96.047296,
0P,non_breeder,n,0,M,12.05,198.44,153.4,NA,45.815115,-92.648518,
0R,breeder,y,5,F,10,187,106,28.4,44.008855,-95.271487,
0T,breeder,y,2,M,11.2,202,124,8.7,46.933808,-94.995488,"didn't see a mate nearby; seemed like an older bird, so breeding status unclear"
0T_2nd,breeder,y,5,M,13.6,193,131,77.1,45.275751,-94.536974,
1A,paired,y,0,M,13.2,210,135,21.2,45.002486,-93.611393,
1C,breeder,y,4,M,12.2,198,126,104.2,43.12184,-93.012207,
1E,paired,y,0,F,10.9,210,118.4,60.5,44.8678,-93.81828,
1H,non_breeder,n,0,M,11.64,197.4,NA,NA,49.700347,-96.20328,
1L,breeder,y,3,F,10.3,204,129,39.4,45.987785,-95.86655,
1M,breeder,y,4,F,10.3,200,118,33.3,41.43333,-83.01498,
1N,breeder,y,1,M,12.9,210,129,80,41.62236,-83.21336,
