id,year,name,mean,lower,upper,Rhat,n.eff
2A,2A-2019-2020,cp_1,114.5064339,114.0015979,114.9574556,1.000271354,29112
2A,2A-2019-2020,cp_2,130.2204178,129.1102479,130.9997394,1.000196182,13295
2A,2A-2019-2020,cp_3,136.5000914,136.0124775,136.9600325,1.00001818,32496
2A,2A-2019-2020,cp_4,137.4951007,137.0183426,137.9677069,0.999990919,30980
2A,2A-2019-2020,int_1,0.996563647,0.206783659,1.777436271,1.000116274,27954
2A,2A-2019-2020,int_2,26.99532922,25.03996256,28.8935774,1.000285318,25003
2A,2A-2019-2020,int_3,41.58883867,38.37445171,44.80737131,1.000083911,17992
2A,2A-2019-2020,int_4,190.4714669,182.9748873,197.828709,1.000049533,28652
2A,2A-2019-2020,int_5,317.4807766,316.6009972,318.3741989,1.000029085,29379
2A,2A-2019-2020,sigma_1,3.784408857,3.398172021,4.193621281,1.000162898,25633
4A,4A-2019-2020,cp_1,68.68062054,68.00010458,69.77220287,1.006627549,11206
4A,4A-2019-2020,cp_2,88.2312314,86.30909316,89.99923091,1.000016992,21070
4A,4A-2019-2020,cp_3,121.8089325,118.6064604,125.9858888,1.000205393,19049
4A,4A-2019-2020,int_1,0.817760975,0.293311687,1.361314805,1.000142009,26039
4A,4A-2019-2020,int_2,6.444900073,5.604111903,7.237189566,1.000201768,24712
4A,4A-2019-2020,int_3,3.540160722,2.890283504,4.224665141,1.000115539,19731
4A,4A-2019-2020,int_4,7.799240351,7.508555465,8.079426976,1.000227387,26536
4A,4A-2019-2020,sigma_1,1.783356195,1.628485074,1.944958954,1.000072981,26208
5A,5A-2019-2020,cp_1,117.5003273,117.0204821,117.9685814,0.999975225,36620
5A,5A-2019-2020,cp_2,132.7646373,125.3684284,136.0334768,1.000438037,6782
5A,5A-2019-2020,cp_3,205.4776828,205.0068508,205.9789772,1.000069517,21853
5A,5A-2019-2020,cp_4,246.4967218,246.0083983,246.9614465,1.000147489,33152
5A,5A-2019-2020,int_1,3.225024491,-1.736515948,8.315151138,1.000158123,28756
5A,5A-2019-2020,int_2,244.7287184,229.0628651,260.2720892,1.000078783,9389
5A,5A-2019-2020,int_3,299.1252497,293.2576382,304.9269676,1.000088596,18184
5A,5A-2019-2020,int_4,390.9787759,383.5403464,398.0800948,1.000072627,27588
5A,5A-2019-2020,int_5,209.2028631,200.1414371,218.273042,1.000098812,28261
5A,5A-2019-2020,sigma_1,23.68251401,21.58854842,25.90359481,1.000137045,24751
6A,6A-2019-2020,cp_1,132.4005088,132.0100215,132.9657339,1.000134312,22359
6A,6A-2019-2020,cp_2,133.4704753,133.0001674,133.9816002,1.000024542,21611
6A,6A-2019-2020,cp_3,134.4608943,134.0048539,134.9948987,0.999995012,21337
6A,6A-2019-2020,cp_4,142.3502452,140.4419107,147.7346345,1.099072808,2495
6A,6A-2019-2020,cp_5,162.5012716,162.0399616,162.9878567,0.999966677,31883
6A,6A-2019-2020,cp_6,252.4999188,252.0469724,252.996429,0.999999141,31116
6A,6A-2019-2020,int_1,0.560180062,-0.119365366,1.242659392,0.999969537,30746
6A,6A-2019-2020,int_2,20.82736919,13.60878325,29.73003455,1.000167994,20351
6A,6A-2019-2020,int_3,110.1148384,104.7616234,122.3159344,1.000024449,21021
6A,6A-2019-2020,int_4,159.2250179,157.8246743,164.4474207,1.002833714,13719
6A,6A-2019-2020,int_5,154.79804,153.1070126,156.5458397,1.000233616,17812
6A,6A-2019-2020,int_6,177.6656213,176.9544412,178.3734254,1.000222997,29507
6A,6A-2019-2020,int_7,1.009836157,0.320281156,1.728004894,1.000079245,30273
6A,6A-2019-2020,sigma_1,3.429508333,3.15324445,3.70868481,1.000139251,17699
3A,3A-2019-2020,cp_1,127.5019941,127.0456168,127.9958223,1.000010244,31898
3A,3A-2019-2020,cp_2,156.5008926,156.0029121,156.9519279,1.000060493,32302
3A,3A-2019-2020,int_1,2.23476686,0.93215383,3.562796885,1.000203767,28875
3A,3A-2019-2020,int_2,65.38198401,63.00213854,67.75848367,1.000127742,27189
3A,3A-2019-2020,int_3,239.8435332,238.0416,241.72939,1.000308628,27620
3A,3A-2019-2020,sigma_1,6.426177557,5.773514326,7.160248802,1.000019546,25961
2J,2J-2019-2020,cp_1,111.7316127,108.0005678,115.3909147,1.043580907,8150
2J,2J-2019-2020,cp_2,119.4994841,119.0192244,119.9666861,1.000031904,32329
2J,2J-2019-2020,cp_3,135.4990667,135.0044395,135.9530428,1.000061871,32414
2J,2J-2019-2020,int_1,0.870896716,-1.358825362,2.998473156,1.000591393,25770
2J,2J-2019-2020,int_2,16.97628489,9.201575294,25.18018875,1.00127697,13934
2J,2J-2019-2020,int_3,100.5296798,95.78147661,105.0059728,1.000147414,27858
2J,2J-2019-2020,int_4,12.82574386,11.61086805,14.04072416,1.000008214,27463
2J,2J-2019-2020,sigma_1,9.424909492,8.694324651,10.15414726,1.00000215,25844
2J,2J-2020-2021,cp_1,107.4981668,107.0157416,107.9638183,0.999968872,36300
2J,2J-2020-2021,cp_2,123.5529005,123.0000171,124.7193318,1.003057827,5551
2J,2J-2020-2021,cp_3,125.5001783,125.047483,125.9973331,0.999983579,31922
2J,2J-2020-2021,cp_4,152.500127,152.0004518,152.9477441,1.000001806,32023
2J,2J-2020-2021,int_1,1.505494213,-0.469801658,3.482672367,0.999996936,29255
2J,2J-2020-2021,int_2,96.24503007,91.06351422,101.511436,1.000080139,25150
2J,2J-2020-2021,int_3,61.11530168,44.45995486,78.42376381,1.000061497,12671
2J,2J-2020-2021,int_4,140.9184686,136.8490333,144.7352049,1.000075596,27626
2J,2J-2020-2021,int_5,10.18982366,8.751302106,11.59807964,1.000055851,27414
2J,2J-2020-2021,sigma_1,10.52995365,9.780165091,11.31970177,1.000181266,25941
2J,2J-2021-2022,cp_1,106.6436746,106.0000997,107.6947697,1.000151382,22902
2J,2J-2021-2022,cp_2,117.5019636,117.0490871,117.9974266,0.999982752,39206
2J,2J-2021-2022,cp_3,118.4999465,118.0451958,118.9942121,1.000009153,37793
2J,2J-2021-2022,cp_4,120.5007648,120.0502306,120.9988014,1.00004193,34902
2J,2J-2021-2022,cp_5,144.5001076,144.0043452,144.9534451,1.00005654,32347
2J,2J-2021-2022,cp_6,147.498975,147.0266342,147.9761784,1.000035611,34862
2J,2J-2021-2022,int_1,0.695215204,-0.136293015,1.496139853,1.000096916,33138
2J,2J-2021-2022,int_2,16.59336959,14.12772709,19.23605492,1.000074414,30569
2J,2J-2021-2022,int_3,68.58240364,60.24130616,77.03092773,1.000028797,28474
2J,2J-2021-2022,int_4,99.5909779,93.62540681,105.6047729,1.000060638,29401
2J,2J-2021-2022,int_5,16.95529826,15.27129946,18.67651713,1.000029116,36625
2J,2J-2021-2022,int_6,94.46479086,89.62626134,99.27554379,0.999995794,31972
2J,2J-2021-2022,int_7,20.50959468,19.14770015,21.87985166,0.99999753,32084
2J,2J-2021-2022,sigma_1,4.284022406,3.836383745,4.742848822,1.000291296,28923
7A,7A-2019-2020,cp_1,105.1635154,103.4481559,106.998709,1.000258749,24775
7A,7A-2019-2020,cp_2,134.4974314,134.0129993,134.9668479,1.000377484,34023
7A,7A-2019-2020,cp_3,135.500201,135.0237031,135.9720199,0.999983497,34856
7A,7A-2019-2020,cp_4,168.5018583,168.0467347,168.998764,1.00027124,28475
7A,7A-2019-2020,cp_5,171.5047865,171.048498,171.999714,1.000015758,36949
7A,7A-2019-2020,cp_6,175.4964648,175.0033292,175.9526574,1.000088697,31647
7A,7A-2019-2020,int_1,0.950120463,0.691197733,1.209920404,1.000038028,29810
7A,7A-2019-2020,int_2,2.880276304,2.475139868,3.278667222,1.00006718,31486
7A,7A-2019-2020,int_3,13.06867692,10.86588152,15.23321017,1.000345035,22594
7A,7A-2019-2020,int_4,4.929485604,4.556881229,5.294023591,0.999985364,37651
7A,7A-2019-2020,int_5,12.31436006,11.06815404,13.57694553,1.000080323,22068
7A,7A-2019-2020,int_6,4.459906319,3.376248252,5.495331752,1.000299188,23919
7A,7A-2019-2020,int_7,22.96287186,22.54255709,23.37599774,1.000092359,29160
7A,7A-2019-2020,sigma_1,1.088240611,0.969722063,1.213238405,1.000034502,24135
3J,3J-2019-2020,cp_1,252.3625513,245.9413313,262.7604464,1.000976101,11665
3J,3J-2019-2020,int_1,12.79524688,10.56602147,14.93015393,1.000196328,25644
3J,3J-2019-2020,int_2,0.997910901,-1.932295856,4.084906942,1.000046937,26792
3J,3J-2019-2020,sigma_1,16.01894526,14.82146428,17.29569615,1.000030187,27053
3J,3J-2020-2021,cp_1,155.1708028,153.3572515,157.6930673,1.017329031,2053
3J,3J-2020-2021,cp_2,167.4990098,167.0331767,167.9812591,1.000343078,38905
3J,3J-2020-2021,cp_3,168.500953,168.0253536,168.9728901,0.999997522,35352
3J,3J-2020-2021,cp_4,177.4994221,177.0447143,177.9960466,1.000187342,35985
3J,3J-2020-2021,cp_5,178.4987752,178.0066511,178.9576625,0.999996179,35328
3J,3J-2020-2021,cp_6,239.9615428,238.000674,241.7915255,0.999982045,30231
3J,3J-2020-2021,int_1,0.96381487,0.722458219,1.204797817,1.000180057,32987
3J,3J-2020-2021,int_2,4.415966793,3.464215651,5.347936139,1.000795585,9560
3J,3J-2020-2021,int_3,15.27534632,12.32020739,18.22935246,1.000275561,29464
3J,3J-2020-2021,int_4,45.20537023,44.20031375,46.16498558,0.999978838,34866
3J,3J-2020-2021,int_5,5.34085791,2.388941756,8.31445371,1.000046725,27510
3J,3J-2020-2021,int_6,41.97866947,41.54749311,42.37541514,1.000266764,32740
3J,3J-2020-2021,int_7,3.856300959,3.167967328,4.524134896,0.999998905,30363
3J,3J-2020-2021,sigma_1,1.510484904,1.374176846,1.645851982,1.000225576,28046
5J,5J-2019-2020,cp_1,130.4479199,129.7333758,131.0002301,1.000048397,21515
5J,5J-2019-2020,cp_2,142.5026136,142.0443936,142.9934181,1.000070664,33082
5J,5J-2019-2020,cp_3,164.162788,163.140601,164.9999059,1.000152507,19974
5J,5J-2019-2020,int_1,0.941107334,0.478534698,1.408691688,1.00003692,27172
5J,5J-2019-2020,int_2,11.42455739,10.14881985,12.78210364,1.00001766,25519
5J,5J-2019-2020,int_3,1.239531466,0.20866562,2.224226283,1.000233016,25962
5J,5J-2019-2020,int_4,8.881761578,7.876260628,9.852590235,1.000162171,26012
5J,5J-2019-2020,sigma_1,2.280295745,2.016346662,2.556186467,1.00001964,26038
4J,4J-2019-2020,cp_1,62.39183486,61.40319698,62.9999866,1.000074307,12420
4J,4J-2019-2020,cp_2,82.91489482,82.00019933,83.88450451,1.000003546,20689
4J,4J-2019-2020,cp_3,94.13093927,93.077821,94.99997366,0.999999774,18195
4J,4J-2019-2020,cp_4,253.4488143,252.7265622,253.9999774,1.000307741,16526
4J,4J-2019-2020,int_1,1.093228288,-0.053483205,2.16892048,1.000140128,28175
4J,4J-2019-2020,int_2,6.495588166,5.353651965,7.615650593,1.000110679,22679
4J,4J-2019-2020,int_3,15.21614193,13.70653749,16.79965011,1.000180436,23436
