swan_ID,id_year,fall_mig_onset,spring_arrival,spring_arrival_comment,mig_duration,mig_duration_comment,fall_mig_onset_comment,breeding_status,cygnets,sex,lead,breeding_lat,breeding_longitude,fall_yr,spring_yr,entire_yr
2A,2A-2019-2020,2020-10-21,NA,first and last intercepts not within 30 km,NA,lack of fall departure and/or spring arrival,NA,breeder,4,F,NA,47.721362,-94.749709,2019,2020,2019-2020
4A,4A-2019-2020,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall",paired,0,F,NA,47.49753,-92.0700803,2019,2020,2019-2020
5A,5A-2019-2020,2020-10-24,NA,first and last intercepts not within 30 km,NA,lack of fall departure and/or spring arrival,NA,non_breeder,NA,F,NA,48.482692,-94.8690244,2019,2020,2019-2020
6A,6A-2019-2020,2020-11-08,2020-03-07,NA,120.09940999999998,NA,NA,breeder,3,F,NA,46.54242,-93.491985,2019,2020,2019-2020
3A,3A-2019-2020,2020-11-03,NA,first and last intercepts not within 30 km,NA,lack of fall departure and/or spring arrival,NA,non_breeder,0,F,NA,46.96702,-91.928879,2019,2020,2019-2020
2J,2J-2021-2022,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall",breeder,2,F,NA,45.712552,-86.11812,2021,2022,2021-2022
7A,7A-2019-2020,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall",breeder,6,F,NA,47.049928,-94.924069,2019,2020,2019-2020
3J,3J-2020-2021,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall",breeder,3,F,NA,45.008628,-86.136235,2020,2021,2020-2021
5J,5J-2019-2020,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall",breeder,6,F,NA,44.401589,-85.574128,2019,2020,2019-2020
4J,4J-2019-2020,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall",breeder,2,F,NA,43.7949,-85.953877,2019,2020,2019-2020
4J,4J-2020-2021,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall",breeder,2,F,NA,43.7949,-85.953877,2020,2021,2020-2021
4J,4J-2021-2022,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall",breeder,2,F,NA,43.7949,-85.953877,2021,2022,2021-2022
6J,6J-2019-2020,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall",breeder,2,M,NA,42.9482565,-85.1445124,2019,2020,2019-2020
6J,6J-2020-2021,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall",breeder,2,M,NA,42.9482565,-85.1445124,2020,2021,2020-2021
7J,7J-2019-2020,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall",breeder,2,M,NA,42.3049808,-85.3389189,2019,2020,2019-2020
7J,7J-2020-2021,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall",breeder,2,M,NA,42.3049808,-85.3389189,2020,2021,2020-2021
7J,7J-2021-2022,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall",breeder,2,M,NA,42.3049808,-85.3389189,2021,2022,2021-2022
9J (first deployment),9J (first deployment)-2019-2020,NA,NA,"last changepoint not during winter/spring/summer (Dec-July),
or last movement away from origin, or 
difference between max and last int not above 100 km",NA,lack of fall departure and/or spring arrival,"no onset because swan didn't fly far enough away, wasn't moving away from origin, or movement wasn't during fall",breeder,1,F,NA,42.259404,-85.350384,2019,2020,2019-2020
